priority,brokerage,city_or_scope,fsp_number,public_email,phone,status,fit_notes,source_url,last_action,next_action
A,Graham Silva Insurance Consultants,Johannesburg / nationwide,5671,info@grahamsilva.co.za,011 640 7558,approached,Independent personal and commercial broker; strong human-service fit,https://grahamsilva.co.za/,2026-08-26 email sent,Await response and request KI/compliance meeting
A,Excessible,Midrand / nationwide,55248,info@excessible.co.za,010 534 7537,not_contacted,Digitally driven; insurance audit and national service model align strongly with marketplace concept,https://www.excessible.co.za/,,Personalised partner approach to principal/decision maker
A,SureStart Online Financial Services,Cape Town / digital nationwide,47233,matthew@surestart.co.za,+27 83 987 1947,not_contacted,Embedded insurance APIs white-label and affiliate capability make this a high strategic fit,https://www.surestart.co.za/contact-8,,Approach executive director with platform integration angle
A,O2 Brokers,Johannesburg / nationwide,51367,insure@o2brokers.co.za,010 500 4333,not_contacted,Modern digitally driven personal business and specialist brokerage,https://o2brokers.co.za/contact-us/,,Approach with qualified-match and white-label proposition
A,Ample Insurance Brokers,Krugersdorp / Gauteng,34697,info@ampleinsurance.co.za,0861 112 466,not_contacted,Client-first plain-language brokerage; strong protection and claims-service fit,https://ampleinsurance.co.za/,,Approach principal with Founding 50 offer
A,Genesis Insurance Brokers,Johannesburg / Cape Town / Gqeberha,14995,,011 789 7845,not_contacted,National multi-office broker with adviser growth focus and multiple insurer access,https://www.genesisinsurance.co.za/careers/,,Find current new-business email and approach management
A,Kheta Insurance Brokers,Multi-province nationwide footprint,42336,info@kheta.co.za,010 100 3210,not_contacted,Wide provincial footprint and personal/business/medical lines; valuable network-density partner,https://www.kheta.co.za/itemlist/category/1-site,,Approach head office for national participation
A,TIB Insurance Brokers,Durban / Johannesburg,5950 / 46229,info@tibs.co.za,031 583 2200,not_contacted,Established multi-office group; strong broker operating-platform use case,https://tibs.co.za/,,Approach group management
A,Roxsure Insurance Brokers,Johannesburg / Bloemfontein,8765,admin@roxsure.co.za,011 885 6600,not_contacted,Multi-location specialist brokerage with personal/commercial capability,https://roxsure.co.za/cvc/,,Approach head office and Bloemfontein branch
A,Insurance Zone Insurance Brokers,Johannesburg / Cape Town,22895,admin@insurancezone.co.za,011 601 8800,not_contacted,Two-city brokerage with clear FAIS/compliance infrastructure,https://insurancezone.co.za/contact-us/,,Approach management plus compliance officer
B,Hart & McDonald,Cape Town,15830,anton@hartbrokers.co.za,021 914 0805,not_contacted,Independent long-term short-term and specialist broker with high-touch claims service,https://hartandmcdonald.com/,,Approach owner directly
B,Multi Insurance Brokers,Cape Town,5138,mibroker@multi-brokers.co.za,+27 21 910 4700,not_contacted,Independent short-term brokerage with broad personal commercial and specialist lines,https://www.multi-brokers.co.za/,,Approach management
B,N-Sure It Insurance Brokers,Cape Town,52240,info@n-sureit.co.za,021 393 0076,not_contacted,Personal and commercial broker with quote-focused digital intake,https://n-sureit.co.za/,,Approach with marketplace lead-routing proposition
B,F&C Brokers,Cape Town,5116,info@fcbrokers.co.za,021 910 5500,not_contacted,Established personal business liability broker with published compliance framework,https://www.fcbrokers.co.za/legal/,,Approach management
